Robot-obstalce distance level			Action				Robot-obstalce distance level			Action			
Left direcion	Right direction	Front direction	Go forward	Go backward	Turn left	 Turn tight	Left direcion	Right direction	Front direction	Go forward	Go backward	Turn left	 Turn tight
0	0	0	-24.62	17.06	16.55	17.02	2	0	0	0.62	17.46	16.97	16.85
0	0	1	19.06	17.64	17.01	17.17	2	0	1	18.11	17.91	18.1	17.12
0	0	2	19.67	17.54	14.73	14.87	2	0	2	19.37	18.44	18.44	17.85
0	0	3	19.91	-15.51	17.7	17.93	2	0	3	19.89	18.65	18.54	17.52
0	1	0	-85.86	17.04	16.96	17.28	2	1	0	-65.16	16.96	16.73	17.41
0	1	1	18.41	17.97	17.53	18.19	2	1	1	18.76	17.99	18.12	17.68
0	1	2	19.64	18.57	17.25	17.86	2	1	2	19.44	18.55	18.46	18.24
0	1	3	19.92	18.92	18.03	18.45	2	1	3	19.84	18.88	18.61	18.38
0	2	0	14.8	17.52	17.02	18.5	2	2	0	18.03	17.38	17.23	17.56
0	2	1	19.38	18.5	17.59	18.7	2	2	1	18.54	17.96	17.75	18.2
0	2	2	19.26	18.49	17.51	18.5	2	2	2	19.16	18.45	18.48	18.72
0	2	3	19.86	18.71	17.91	18.72	2	2	3	19.76	18.87	18.71	18.6
0	3	0	-85.08	17.89	17.01	18.66	2	3	0	4.36	17.6	17.2	18.19
0	3	1	19.86	18.87	17.68	18.85	2	3	1	18.92	18.33	17.94	18.4
0	3	2	19.57	18.71	17.89	18.6	2	3	2	19.35	18.6	18.53	18.75
0	3	3	19.89	18.91	17.78	18.83	2	3	3	19.74	18.82	18.52	18.78
1	0	0	3.85	16.69	16.74	16.79	3	0	0	4.47	17.19	18.2	16.98
1	0	1	17.38	17.2	17.2	16.84	3	0	1	11.77	17.91	18.88	17.04
1	0	2	19.66	18.16	17.8	17.73	3	0	2	19.66	18.39	18.33	17.17
1	0	3	19.91	-64.96	18.03	17.7	3	0	3	19.9	18.89	18.84	17.71
1	1	0	-5.27	16.9	17.07	17.37	3	1	0	-48.76	17.41	18.55	17.03
1	1	1	18.39	-85.75	17.85	17.97	3	1	1	19.28	18.57	18.68	17.76
1	1	2	19.61	18.71	18.03	18.14	3	1	2	19.71	18.71	18.7	18.24
1	1	3	19.91	18.9	18.71	18.52	3	1	3	19.88	18.91	18.81	18.32
1	2	0	-48.83	17.66	16.87	18.11	3	2	0	14.23	17.28	18.36	17.3
1	2	1	18.71	18.05	17.71	18.29	3	2	1	19.12	18.01	18.33	18.14
1	2	2	19.5	18.52	18.04	18.52	3	2	2	19.47	18.47	18.72	18.4
1	2	3	19.84	18.87	18.6	18.49	3	2	3	19.64	18.89	18.85	18.76
1	3	0	17.87	17.88	17.34	18.63	3	3	0	14.6	17.56	17.38	17.78
1	3	1	19.07	18.48	17.93	18.55	3	3	1	18.56	18.07	18.03	18.03
1	3	2	19.6	18.67	18.33	18.72	3	3	2	19.33	18.54	18.68	18.74
1	3	3	19.84	18.89	18.51	18.78	3	3	3	19.54	18.68	18.71	18.66
